PAT,pat,RED,red,IR,ir,TEMP,temp,env,real_imp,img_imp,REAL_IMP,IMG_IMP
,32349,,22551,,-32743,,3475.0,2783.0,,,569.0,48214.0
,32340,,22325,,32113,,3475.0,2780.0,,,485.0,48369.0
,32344,,22332,,32108,,3477.0,2780.0,,,487.0,48401.0
,32343,,22330,,32114,,3477.0,2781.0,,,488.0,48276.0
,32342,,22332,,32121,,3475.0,2781.0,,,478.0,48478.0
,32342,,22342,,32130,,3477.0,2783.0,,,482.0,48141.0
,32342,,22425,,32455,,3476.0,2781.0,,,477.0,48160.0
,32338,,22347,,32131,,3476.0,2780.0,,,474.0,48034.0
,32348,,22351,,32139,,3477.0,2777.0,,,474.0,48032.0
,32335,,22355,,32165,,3473.0,2780.0,,,538.0,47970.0
,32334,,22347,,32162,,3476.0,2783.0,,,526.0,47959.0
,32334,,22355,,32221,,3476.0,2783.0,,,458.0,48102.0
,32331,,22356,,32190,,3475.0,2783.0,,,484.0,48361.0
,32332,,22356,,32202,,3477.0,2779.0,,,461.0,48165.0
,32322,,22364,,32214,,3476.0,2784.0,,,543.0,48201.0
,32322,,22377,,32217,,3476.0,2781.0,,,482.0,47836.0
,32333,,22383,,32239,,3476.0,2783.0,,,511.0,47811.0
,32333,,22333,,32117,,3475.0,2781.0,,,507.0,47797.0
,32327,,22368,,32233,,3477.0,2780.0,,,522.0,47778.0
,32325,,22375,,32251,,3477.0,2783.0,,,470.0,47794.0
,32329,,22371,,32245,,3477.0,2780.0,,,517.0,47776.0
,32325,,22378,,32253,,3477.0,2780.0,,,535.0,47777.0
,32320,,22380,,32267,,3476.0,2780.0,,,456.0,47768.0
,32320,,22332,,32121,,3475.0,2780.0,,,446.0,47781.0
,32305,,22376,,32270,,3475.0,2783.0,,,510.0,47801.0
,32303,,22378,,32276,,3477.0,2783.0,,,458.0,47780.0
,32301,,22381,,32282,,3473.0,2780.0,,,486.0,47802.0
,32301,,22389,,32285,,3476.0,2781.0,,,433.0,47794.0
,32288,,22380,,32295,,3476.0,2781.0,,,511.0,47797.0
,32288,,22347,,32162,,3476.0,2781.0,,,406.0,47800.0
,32282,,22385,,32294,,3477.0,2781.0,,,509.0,47802.0
,32274,,22394,,32313,,3477.0,2780.0,,,454.0,47811.0
,32271,,22397,,32326,,3477.0,2781.0,,,441.0,47783.0
,32269,,22401,,32337,,3476.0,2781.0,,,451.0,47784.0
,32267,,22408,,32355,,3477.0,2781.0,,,513.0,47806.0
,32267,,22383,,32239,,3477.0,2781.0,,,512.0,47787.0
,32265,,22404,,32381,,3477.0,2781.0,,,482.0,47817.0
,32255,,22412,,32385,,3475.0,2779.0,,,387.0,47810.0
,32244,,22413,,32393,,3477.0,2783.0,,,506.0,47805.0
,32236,,22416,,32398,,3477.0,2780.0,,,526.0,47807.0
,32237,,22417,,32425,,3476.0,2783.0,,,465.0,47820.0
,32237,,22380,,32267,,3477.0,2781.0,,,415.0,47809.0
,32238,,22423,,32442,,3476.0,2783.0,,,490.0,47817.0
,32243,,22422,,32453,,3475.0,2781.0,,,406.0,47826.0
,32239,,22439,,32466,,3476.0,2781.0,,,422.0,47798.0
,32239,,22450,,32494,,3476.0,2781.0,,,379.0,47822.0
,32239,,22442,,32507,,3477.0,2781.0,,,429.0,47801.0
,32239,,22380,,32295,,3476.0,2781.0,,,406.0,47813.0
,32234,,22448,,32512,,3477.0,2780.0,,,463.0,47810.0
,32223,,22450,,32537,,3477.0,2781.0,,,462.0,47836.0
,32213,,22452,,32545,,3476.0,2781.0,,,394.0,47801.0
,32218,,22461,,32556,,3477.0,2781.0,,,480.0,47834.0
,32216,,22462,,32572,,3479.0,2784.0,,,380.0,47824.0
,32216,,22408,,32355,,3479.0,2779.0,,,424.0,47816.0
,32216,,22471,,32587,,3475.0,2781.0,,,480.0,47824.0
,32219,,22476,,32602,,3477.0,2783.0,,,428.0,47819.0
,32212,,22491,,32613,,3477.0,2780.0,,,483.0,47825.0
,32197,,22484,,32629,,3476.0,2783.0,,,374.0,47828.0
,32216,,22492,,32642,,3477.0,2781.0,,,456.0,47809.0
,32216,,22417,,32425,,3477.0,2780.0,,,445.0,47863.0
,32204,,22501,,32657,,3475.0,2780.0,,,487.0,47880.0
,32209,,22505,,32666,,3476.0,2781.0,,,561.0,47903.0
,32206,,22495,,32685,,3477.0,2781.0,,,559.0,47919.0
,32191,,22498,,32692,,3477.0,2781.0,,,473.0,47912.0
,32198,,22503,,32706,,3475.0,2780.0,,,535.0,47899.0
,32198,,22442,,32507,,3476.0,2780.0,,,544.0,47925.0
,32189,,22505,,32731,,3476.0,2783.0,,,473.0,47903.0
,32184,,22509,,32751,,3477.0,2780.0,,,501.0,47911.0
,32184,,22521,,32741,,3476.0,2780.0,,,574.0,47917.0
,32181,,22525,,-32758,,3476.0,2781.0,,,507.0,47927.0
,32174,,22529,,-32759,,3481.0,2781.0,,,479.0,47902.0
,32174,,22462,,32572,,3476.0,2783.0,,,500.0,47915.0
,32172,,22534,,-32740,,3477.0,2780.0,,,542.0,47912.0
,32172,,22541,,-32731,,3476.0,2783.0,,,570.0,47913.0
,32165,,22540,,-32719,,3475.0,2781.0,,,483.0,47928.0
,32166,,22539,,-32713,,3476.0,2780.0,,,540.0,47913.0
,32168,,22543,,-32700,,3477.0,2781.0,,,563.0,47927.0
,32168,,22492,,32642,,3476.0,2780.0,,,585.0,47924.0
,32161,,22560,,-32670,,3476.0,2780.0,,,509.0,47938.0
,32150,,22553,,-32672,,3479.0,2781.0,,,564.0,47910.0
,32151,,22558,,-32652,,3479.0,2780.0,,,556.0,47934.0
,32153,,22555,,-32642,,3477.0,2781.0,,,487.0,47945.0
,32149,,22561,,-32636,,3476.0,2783.0,,,458.0,47916.0
,32149,,22503,,32706,,3477.0,2780.0,,,523.0,47940.0
