pat,red,ir,real_imp,img_imp,temp,env
24356,22398.0,32378.0,6464.0,61411.0,3550.0,3197.0
24356,22408.0,32352.0,6462.0,61416.0,3548.0,3196.0
24375,22405.0,32337.0,6453.0,61418.0,3547.0,3199.0
24379,22413.0,32321.0,6453.0,61414.0,3551.0,3199.0
24376,22427.0,32309.0,6457.0,61412.0,3550.0,3197.0
24376,22436.0,32291.0,6454.0,61414.0,3550.0,3197.0
24409,22445.0,32279.0,6452.0,61415.0,3550.0,3200.0
24413,22446.0,32241.0,6465.0,61414.0,3548.0,3197.0
24395,22449.0,32244.0,6465.0,61413.0,3548.0,3199.0
24395,22445.0,32275.0,6466.0,61418.0,3548.0,3199.0
24358,22437.0,32303.0,6450.0,61413.0,3550.0,3197.0
24406,22424.0,32364.0,6452.0,61412.0,3550.0,3197.0
24408,22388.0,32442.0,6462.0,61416.0,3551.0,3197.0
24408,22374.0,32563.0,6438.0,61424.0,3550.0,3197.0
24383,22333.0,32638.0,6456.0,61413.0,3547.0,3199.0
24341,22300.0,32699.0,6462.0,61422.0,3550.0,3199.0
24341,22280.0,32765.0,6442.0,61418.0,3548.0,3199.0
24341,22266.0,32719.0,6459.0,61416.0,3551.0,3199.0
24320,22246.0,32666.0,6461.0,61413.0,3550.0,3196.0
24305,22235.0,32645.0,6456.0,61419.0,3550.0,3197.0
24305,22221.0,32618.0,6471.0,61420.0,3551.0,3197.0
24305,22224.0,32595.0,6456.0,61410.0,3548.0,3199.0
24296,22215.0,32603.0,6448.0,61417.0,3548.0,3197.0
24326,22222.0,32591.0,6457.0,61413.0,3550.0,3199.0
24359,22217.0,32610.0,6451.0,61412.0,3548.0,3199.0
24359,22230.0,32621.0,6447.0,61417.0,3548.0,3197.0
24355,22223.0,32629.0,6463.0,61422.0,3548.0,3196.0
24354,22234.0,32647.0,6451.0,61409.0,3550.0,3196.0
24355,22233.0,32675.0,6446.0,61412.0,3548.0,3196.0
24355,22252.0,32738.0,6468.0,61423.0,3548.0,3199.0
24345,22262.0,32754.0,6461.0,61412.0,3548.0,3197.0
24340,22283.0,32760.0,6457.0,61412.0,3550.0,3196.0
24279,22291.0,32749.0,6458.0,61415.0,3551.0,3199.0
24279,22292.0,32732.0,6458.0,61413.0,3548.0,3199.0
24309,22295.0,32725.0,6454.0,61416.0,3548.0,3200.0
24250,22293.0,32721.0,6453.0,61416.0,3552.0,3197.0
24306,22299.0,32703.0,6463.0,61415.0,3548.0,3197.0
24306,22305.0,32696.0,6457.0,61422.0,3550.0,3199.0
24277,22310.0,32700.0,6460.0,61407.0,3548.0,3196.0
24277,22304.0,32702.0,6466.0,61412.0,3550.0,3197.0
24297,22317.0,32696.0,6452.0,61418.0,3547.0,3197.0
24297,22304.0,32690.0,6459.0,61412.0,3547.0,3197.0
24338,22299.0,32701.0,6457.0,61406.0,3551.0,3199.0
24334,22303.0,32685.0,6441.0,61419.0,3547.0,3199.0
24330,22302.0,32676.0,6455.0,61418.0,3548.0,3197.0
24330,22306.0,32659.0,6452.0,61412.0,3551.0,3197.0
24324,22319.0,32641.0,6448.0,61427.0,3548.0,3199.0
24316,22318.0,32636.0,6466.0,61414.0,3550.0,3197.0
24309,22322.0,32625.0,6458.0,61418.0,3548.0,3196.0
24309,22324.0,32604.0,6465.0,61413.0,3552.0,3196.0
24284,22336.0,32584.0,6466.0,61415.0,3547.0,3197.0
24255,22342.0,32554.0,6456.0,61408.0,3548.0,3197.0
24271,22358.0,32553.0,6450.0,61407.0,3550.0,3197.0
24271,22357.0,32546.0,6458.0,61411.0,3548.0,3196.0
24277,22368.0,32510.0,6461.0,61418.0,3550.0,3197.0
24286,22364.0,32501.0,6447.0,61422.0,3550.0,3196.0
24290,22374.0,32480.0,6456.0,61417.0,3552.0,3196.0
24290,22375.0,32458.0,6465.0,61415.0,3550.0,3197.0
24349,22387.0,32436.0,6450.0,61410.0,3551.0,3196.0
24381,22395.0,32420.0,6458.0,61412.0,3550.0,3197.0
24393,22394.0,32412.0,6469.0,61416.0,3551.0,3197.0
24393,22404.0,32408.0,6444.0,61422.0,3547.0,3199.0
24410,22419.0,32372.0,6463.0,61406.0,3547.0,3196.0
24409,22420.0,32360.0,6456.0,61413.0,3548.0,3194.0
24416,22412.0,32350.0,6462.0,61417.0,3550.0,3197.0
24416,22428.0,32312.0,6462.0,61425.0,3548.0,3196.0
24408,22435.0,32300.0,6458.0,61415.0,3550.0,3197.0
24406,22443.0,32287.0,6463.0,61421.0,3547.0,3197.0
24326,22446.0,32291.0,6471.0,61418.0,3550.0,3197.0
24326,22449.0,32298.0,6466.0,61414.0,3550.0,3197.0
24389,22440.0,32332.0,6454.0,61423.0,3548.0,3197.0
24368,22430.0,32376.0,6464.0,61415.0,3548.0,3196.0
24345,22402.0,32435.0,6466.0,61415.0,3547.0,3197.0
24345,22372.0,32561.0,6464.0,61421.0,3548.0,3200.0
24326,22334.0,32632.0,6464.0,61415.0,3551.0,3200.0
24355,22300.0,32685.0,6461.0,61419.0,3550.0,3199.0
24359,22288.0,32753.0,6450.0,61413.0,3548.0,3197.0
24359,22276.0,32698.0,6463.0,61410.0,3548.0,3197.0
24353,22260.0,32678.0,6458.0,61410.0,3550.0,3196.0
24341,22238.0,32656.0,6467.0,61418.0,3547.0,3197.0
24347,22241.0,32633.0,6456.0,61417.0,3551.0,3197.0
24347,22244.0,32629.0,6468.0,61414.0,3548.0,3199.0
24350,22239.0,32621.0,6452.0,61429.0,3550.0,3196.0
24358,22238.0,32620.0,6450.0,61415.0,3550.0,3197.0
24347,22239.0,32635.0,6462.0,61418.0,3550.0,3194.0
24347,22236.0,32652.0,6441.0,61417.0,3550.0,3197.0
24279,22260.0,32694.0,6467.0,61417.0,3545.0,3196.0
24295,22265.0,32718.0,6454.0,61411.0,3550.0,3196.0
24311,22270.0,32728.0,6447.0,61431.0,3548.0,3199.0
24311,22277.0,32768.0,6464.0,61418.0,3551.0,3196.0
24295,22288.0,32743.0,6459.0,61422.0,3550.0,3196.0
24293,22305.0,32730.0,6464.0,61414.0,3550.0,3197.0
24284,22312.0,32699.0,6461.0,61418.0,3551.0,3197.0
24284,22315.0,32665.0,6462.0,61407.0,3548.0,3196.0
24330,22315.0,32670.0,6452.0,61431.0,3547.0,3199.0
24320,22323.0,32670.0,6451.0,61415.0,3550.0,3194.0
24327,22324.0,32661.0,6465.0,61415.0,3551.0,3196.0
24327,22320.0,32658.0,6456.0,61418.0,3548.0,3197.0
24320,22328.0,32652.0,6467.0,61415.0,3547.0,3197.0
24313,22329.0,32642.0,6459.0,61416.0,3551.0,3199.0
24309,22334.0,32636.0,6458.0,61414.0,3550.0,3196.0
24309,22322.0,32637.0,6457.0,61412.0,3547.0,3197.0
24301,22330.0,32636.0,6474.0,61421.0,3547.0,3197.0
24246,22335.0,32624.0,6452.0,61420.0,3550.0,3197.0
24226,22344.0,32614.0,6451.0,61407.0,3550.0,3197.0
24226,22342.0,32605.0,6461.0,61421.0,3548.0,3197.0
24267,22338.0,32615.0,6448.0,61410.0,3548.0,3196.0
24259,22346.0,32591.0,6470.0,61418.0,3550.0,3199.0
24235,22360.0,32595.0,6453.0,61412.0,3548.0,3199.0
24235,22353.0,32571.0,6457.0,61420.0,3548.0,3197.0
24211,22366.0,32537.0,6458.0,61424.0,3550.0,3196.0
24279,22375.0,32542.0,6459.0,61413.0,3547.0,3199.0
24256,22366.0,32528.0,6450.0,61414.0,3550.0,3196.0
24256,22384.0,32508.0,6462.0,61413.0,3551.0,3196.0
24313,22384.0,32490.0,6458.0,61409.0,3550.0,3197.0
24337,22395.0,32458.0,6460.0,61415.0,3550.0,3197.0
24342,22397.0,32455.0,6451.0,61424.0,3551.0,3197.0
24342,22404.0,32444.0,6454.0,61414.0,3550.0,3197.0
24368,22402.0,32431.0,6458.0,61422.0,3548.0,3197.0
24380,22415.0,32405.0,6465.0,61411.0,3550.0,3199.0
24382,22426.0,32378.0,6453.0,61423.0,3548.0,3197.0
24382,22430.0,32359.0,6457.0,61419.0,3551.0,3196.0
24320,22434.0,32345.0,6467.0,61416.0,3548.0,3199.0
24365,22443.0,32317.0,6463.0,61412.0,3551.0,3197.0
24372,22451.0,32305.0,6450.0,61428.0,3548.0,3196.0
24372,22457.0,32302.0,6458.0,61416.0,3550.0,3199.0
24345,22450.0,32299.0,6453.0,61418.0,3550.0,3197.0
24317,22458.0,32330.0,6453.0,61406.0,3551.0,3197.0
24361,22439.0,32357.0,6473.0,61422.0,3548.0,3199.0
24361,22432.0,32470.0,6457.0,61412.0,3551.0,3196.0
24349,22377.0,32530.0,6460.0,61409.0,3550.0,3199.0
24331,22362.0,32603.0,6467.0,61406.0,3550.0,3196.0
24331,22339.0,32647.0,6457.0,61411.0,3550.0,3197.0
24331,22324.0,32712.0,6445.0,61415.0,3548.0,3199.0
24318,22317.0,32750.0,6460.0,61417.0,3548.0,3199.0
24309,22305.0,32743.0,6452.0,61410.0,3550.0,3196.0
24309,22284.0,32716.0,6454.0,61411.0,3550.0,3197.0
24309,22267.0,32666.0,6465.0,61425.0,3551.0,3196.0
24307,22271.0,32661.0,6466.0,61425.0,3550.0,3197.0
24243,22273.0,32648.0,6455.0,61417.0,3547.0,3196.0
24231,22278.0,32652.0,6461.0,61409.0,3551.0,3197.0
24231,22264.0,32662.0,6460.0,61412.0,3548.0,3196.0
24301,22278.0,32665.0,6456.0,61420.0,3550.0,3196.0
24299,22298.0,32698.0,6452.0,61422.0,3550.0,3197.0
24287,22279.0,32712.0,6469.0,61422.0,3550.0,3196.0
24287,22294.0,32754.0,6460.0,61415.0,3550.0,3197.0
