PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
24613,9096,2911.0,720,,,,,,,,1.0,0.0
24615,9104,2909.0,712,,,,,,,,2.0,2.0
24621,9096,2909.0,720,,,,,,,,1.0,0.0
24622,9088,2908.0,728,,,,,,,,2.0,2.0
24622,9112,2909.0,728,,,,,,,,0.0,0.0
24621,9080,2911.0,720,,,,,,,,2.0,1.0
24599,9104,2911.0,712,,,,,,,,1.0,0.0
24633,9088,2911.0,728,,,,,,,,2.0,1.0
24648,9104,2911.0,736,,,,,,,,1.0,0.0
24669,9104,2911.0,720,,,,,,,,2.0,1.0
24683,9072,2909.0,736,,,,,,,,0.0,0.0
24683,9088,2909.0,736,,,,,,,,2.0,2.0
24647,9112,2911.0,720,,,,,,,,2.0,0.0
24644,9088,2908.0,728,,,,,,,,2.0,2.0
24638,9088,2911.0,728,,,,,,,,0.0,0.0
24632,9096,2908.0,736,,,,,,,,2.0,1.0
24632,9096,2909.0,712,,,,,,,,1.0,0.0
24624,9088,2912.0,712,,,,,,,,2.0,2.0
24626,9120,2909.0,744,,,,,,,,0.0,0.0
24613,9080,2911.0,720,,,,,,,,2.0,2.0
24663,9080,2909.0,736,,,,,,,,0.0,0.0
24668,9112,2911.0,736,,,,,,,,2.0,2.0
24660,9104,2911.0,712,,,,,,,,1.0,65535.0
24662,9096,2911.0,728,,,,,,,,2.0,1.0
24646,9104,2908.0,712,,,,,,,,1.0,0.0
24645,9080,2912.0,744,,,,,,,,2.0,1.0
24624,9096,2911.0,736,,,,,,,,1.0,0.0
24623,9088,2909.0,720,,,,,,,,2.0,2.0
24623,9080,2909.0,736,,,,,,,,1.0,0.0
24622,9080,2912.0,704,,,,,,,,2.0,2.0
24620,9112,2911.0,720,,,,,,,,0.0,65535.0
24616,9088,2909.0,728,,,,,,,,2.0,1.0
24582,9080,2911.0,736,,,,,,,,1.0,0.0
24574,9088,2911.0,752,,,,,,,,2.0,2.0
24553,9080,2912.0,720,,,,,,,,1.0,0.0
24547,9072,2911.0,736,,,,,,,,2.0,1.0
24555,9096,2911.0,728,,,,,,,,1.0,65535.0
24555,9080,2912.0,712,,,,,,,,2.0,1.0
24549,9128,2911.0,736,,,,,,,,0.0,0.0
24557,9088,2909.0,728,,,,,,,,2.0,2.0
24610,9096,2911.0,712,,,,,,,,1.0,0.0
24621,9088,2909.0,720,,,,,,,,2.0,1.0
24610,9096,2909.0,728,,,,,,,,1.0,0.0
24618,9112,2912.0,728,,,,,,,,2.0,2.0
24601,9104,2909.0,712,,,,,,,,1.0,0.0
24599,9088,2911.0,728,,,,,,,,2.0,2.0
24596,9112,2911.0,728,,,,,,,,1.0,0.0
24572,9088,2909.0,728,,,,,,,,2.0,2.0
24596,9088,2911.0,712,,,,,,,,1.0,0.0
24592,9096,2912.0,736,,,,,,,,2.0,1.0
24591,9080,2912.0,720,,,,,,,,0.0,0.0
24589,9088,2909.0,728,,,,,,,,2.0,2.0
24530,9112,2911.0,728,,,,,,,,0.0,65535.0
24531,9120,2908.0,736,,,,,,,,2.0,1.0
24518,9104,2911.0,728,,,,,,,,1.0,0.0
24525,9104,2911.0,704,,,,,,,,2.0,2.0
24529,9096,2911.0,736,,,,,,,,0.0,0.0
24515,9096,2912.0,728,,,,,,,,2.0,2.0
24508,9104,2912.0,696,,,,,,,,1.0,0.0
24489,9112,2911.0,720,,,,,,,,2.0,2.0
24530,9112,2912.0,744,,,,,,,,1.0,0.0
24545,9096,2911.0,720,,,,,,,,2.0,1.0
24538,9080,2911.0,720,,,,,,,,1.0,0.0
24535,9080,2909.0,720,,,,,,,,2.0,2.0
24527,9096,2911.0,712,,,,,,,,1.0,0.0
24527,9072,2912.0,728,,,,,,,,2.0,1.0
24520,9104,2911.0,728,,,,,,,,1.0,0.0
24499,9080,2911.0,728,,,,,,,,2.0,2.0
24519,9104,2909.0,720,,,,,,,,1.0,0.0
24520,9088,2911.0,720,,,,,,,,2.0,1.0
24518,9104,2911.0,720,,,,,,,,1.0,65535.0
24519,9088,2911.0,736,,,,,,,,2.0,1.0
24475,9112,2912.0,712,,,,,,,,1.0,1.0
24473,9088,2911.0,728,,,,,,,,2.0,1.0
24447,9096,2911.0,744,,,,,,,,1.0,65535.0
24457,9088,2911.0,720,,,,,,,,2.0,2.0
24459,9096,2909.0,736,,,,,,,,0.0,65535.0
24455,9120,2909.0,736,,,,,,,,2.0,2.0
24452,9088,2912.0,736,,,,,,,,0.0,65535.0
24428,9112,2911.0,704,,,,,,,,2.0,2.0
24496,9096,2911.0,744,,,,,,,,0.0,0.0
24493,9088,2911.0,736,,,,,,,,2.0,2.0
24493,9104,2912.0,720,,,,,,,,1.0,0.0
24495,9096,2911.0,720,,,,,,,,2.0,2.0
24496,9104,2911.0,728,,,,,,,,0.0,0.0
24496,9112,2911.0,720,,,,,,,,1.0,2.0
24497,9088,2912.0,736,,,,,,,,1.0,0.0
24487,9080,2912.0,720,,,,,,,,2.0,2.0
24461,9104,2909.0,728,,,,,,,,1.0,0.0
24481,9104,2911.0,736,,,,,,,,2.0,1.0
24472,9088,2908.0,704,,,,,,,,1.0,0.0
24472,9096,2911.0,744,,,,,,,,2.0,1.0
24442,9096,2911.0,720,,,,,,,,1.0,0.0
24436,9096,2909.0,744,,,,,,,,2.0,1.0
24412,9104,2909.0,744,,,,,,,,1.0,0.0
24406,9088,2909.0,720,,,,,,,,2.0,2.0
24415,9096,2911.0,736,,,,,,,,1.0,0.0
24414,9096,2909.0,728,,,,,,,,2.0,2.0
24400,9096,2909.0,720,,,,,,,,1.0,0.0
24389,9080,2909.0,728,,,,,,,,1.0,2.0
24429,9088,2911.0,728,,,,,,,,1.0,0.0
